;action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
110;38;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française anticorruption
111;38;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française anticorruption
112;39;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
113;39;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
114;40;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
115;40;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
116;41;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
117;41;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
118;41;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Autres : à préciser;;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
119;42;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
120;42;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
121;42;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;
122;42;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;
123;43;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;Direction générale du Trésor
124;43;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;Direction générale du Trésor
125;44;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
126;44;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
127;46;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
128;46;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
129;46;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
130;46;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Economie et finances;;
131;52;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
132;52;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
133;52;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de la concurrence;
134;52;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de la concurrence;;
135;53;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
136;53;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
137;54;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
138;54;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
139;54;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
140;54;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
141;55;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
142;55;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
143;55;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de la concurrence;
144;55;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de la concurrence;;
145;56;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
146;56;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
147;57;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
148;57;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
149;57;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
150;57;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Economie et finances;;
151;57;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de la concurrence;
152;57;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de la concurrence;;
153;60;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
154;60;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
155;60;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
156;61;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
157;61;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
158;62;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
159;62;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
160;62;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
161;62;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haute Autorité de santé;
162;62;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haute Autorité de santé;;
163;63;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
164;63;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
165;63;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
166;63;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
167;63;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
168;63;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Travail, emploi, formation professionnelle et dialogue social;;
169;64;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
170;64;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
171;64;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
172;64;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
173;64;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication, Travail, emploi, formation professionnelle et dialogue social;;
174;65;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
175;65;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
176;65;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
177;65;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
178;65;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
179;65;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Travail, emploi, formation professionnelle et dialogue social;;
180;66;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
181;66;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
182;67;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
183;67;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
184;67;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
185;67;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
186;67;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Travail, emploi, formation professionnelle et dialogue social;;
187;68;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
188;68;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
189;69;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
190;69;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
191;70;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
192;70;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
193;70;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Défenseur des droits;
194;70;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Défenseur des droits;;
195;71;Membre du Gouvernement ou membre de cabinet ministériel;Education nationale;
196;71;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
197;71;Membre du Gouvernement ou membre de cabinet ministériel; Outre-mer;
198;71;Membre du Gouvernement ou membre de cabinet ministériel - Education nationale, enseignement supérieur et recherche, Outre-mer;;
199;72;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
200;72;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
201;72;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
202;72;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
203;72;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
204;72;Membre du Gouvernement ou membre de cabinet ministériel; Outre-mer;
205;72;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social, Education nationale, enseignement supérieur et recherche, Outre-mer;;
206;72;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Défenseur des droits;
207;72;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Défenseur des droits;;
208;73;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
209;73;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
210;73;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
211;74;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
212;74;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
213;74;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
214;75;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;Secrétariat d'Etat en charge du numérique
215;75;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Secrétariat d'Etat en charge du numérique
216;75;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Autres : à préciser;;Secrétariat d'Etat en charge du numérique
217;76;Membre du Gouvernement ou membre de cabinet ministériel;Logement;Ministère de la Cohésion des Territoires et du Logement
218;76;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Ministère de la Cohésion des Territoires et du Logement
219;76;Membre du Gouvernement ou membre de cabinet ministériel - Logement, Autres : à préciser;;Ministère de la Cohésion des Territoires et du Logement
220;77;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
221;77;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
222;77;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
223;77;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
224;79;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
225;79;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
226;80;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
227;80;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
228;82;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
229;82;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
230;88;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
231;88;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
232;88;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
233;88;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur, Environnement, énergie et mer;;
234;89;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
235;89;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
236;89;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
237;90;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
238;90;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
239;90;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
240;90;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Environnement, énergie et mer;;
241;91;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
242;91;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
243;91;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
244;92;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
