;action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
3183;1415;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3184;1415;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Economie et finances;;
3185;1416;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3186;1416;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3187;1420;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3188;1420;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
3189;1420;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3190;1420;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3191;1420;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3192;1420;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Affaires sociales et santé, Economie et finances;;
3193;1421;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3194;1421;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3195;1421;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3196;1421;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé, Economie et finances;;
3197;1422;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3198;1422;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3199;1423;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
3200;1423;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
3201;1425;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
3202;1425;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
3203;1426;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3204;1426;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3205;1427;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3206;1427;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
3207;1427;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
3208;1427;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
3209;1427;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3210;1427;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Travail, emploi, formation professionnelle et dialogue social, Economie et finances;;
3211;1428;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3212;1428;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
3213;1428;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication;;
3214;1430;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3215;1430;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
3216;1430;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Affaires étrangères et développement international;;
3217;1431;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3218;1431;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3219;1432;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3220;1432;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
3221;1432;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Affaires étrangères et développement international;;
3222;1433;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3223;1433;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3224;1434;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3225;1434;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3226;1434;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3227;1434;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
3228;1434;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
3229;1434;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé, Economie et finances, Education nationale, enseignement supérieur et recherche;;
3230;1437;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3231;1437;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
3232;1437;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
3233;1437;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
3234;1437;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3235;1437;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Travail, emploi, formation professionnelle et dialogue social, Affaires sociales et santé;;
3236;1438;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
3237;1438;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3238;1438;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé, Economie et finances;;
3239;1439;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;Ministère de l'Action et des Comptes publics
3240;1439;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;Ministère de l'Action et des Comptes publics
3241;1439;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;Ministère de l'Action et des Comptes publics
3242;1439;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;Ministère de l'Action et des Comptes publics
3243;1439;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Ministère de l'Action et des Comptes publics
3244;1439;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Education nationale, enseignement supérieur et recherche, Autres : à préciser;;Ministère de l'Action et des Comptes publics
3245;1440;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3246;1440;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3247;1440;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
3248;1440;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
3249;1440;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Education nationale, enseignement supérieur et recherche;;
3250;1441;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3251;1441;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3252;1441;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3253;1442;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3254;1442;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3255;1442;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3256;1443;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3257;1443;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3258;1443;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
3259;1445;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3260;1445;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3261;1445;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3262;1445;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3263;1445;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
3264;1446;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Ministère chargé des Transports
3265;1446;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Ministère chargé des Transports
3266;1446;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Commission nationale de l'informatique et des libertés;Ministère chargé des Transports
3267;1446;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Commission nationale de l'informatique et des libertés;;Ministère chargé des Transports
3268;1447;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
3269;1447;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
3270;1448;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3271;1448;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3272;1448;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3273;1448;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3274;1449;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3275;1449;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3276;1449;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3277;1449;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3278;1450;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3279;1450;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3280;1450;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3281;1450;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3282;1450;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Affaires sociales et santé, Economie et finances;;
3283;1451;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3284;1451;Membre du Gouvernement ou membre de cabinet ministériel; Logement;
3285;1451;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Logement;;
3286;1452;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3287;1452;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3288;1452;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
3289;1453;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;Ministère de l'Action et des Comptes publics
3290;1453;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Ministère de l'Action et des Comptes publics
3291;1453;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé, Autres : à préciser;;Ministère de l'Action et des Comptes publics
3292;1454;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
3293;1454;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
3294;1455;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3295;1455;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3296;1455;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3297;1455;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé, Economie et finances;;
3298;1455;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haute Autorité de santé;
3299;1455;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haute Autorité de santé;;
3300;1457;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3301;1457;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3302;1457;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
3303;1459;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;Ministère de l'Action et des Comptes publics
3304;1459;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Ministère de l'Action et des Comptes publics
3305;1459;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Autres : à préciser;;Ministère de l'Action et des Comptes publics
3306;1460;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3307;1460;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
3308;1460;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3309;1460;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3310;1460;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3311;1460;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3312;1460;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Economie et finances, Environnement, énergie et mer;;
3313;1461;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;Action et Comptes publics
3314;1461;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;Action et Comptes publics
3315;1461;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;Action et Comptes publics
3316;1461;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;Action et Comptes publics
3317;1461;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Action et Comptes publics
3318;1461;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer, Autres : à préciser;;Action et Comptes publics
3319;1462;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;Action et Comptes publics
3320;1462;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;Action et Comptes publics
3321;1462;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Action et Comptes publics
3322;1462;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;Action et Comptes publics
3323;1462;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Autres : à préciser, Affaires étrangères et développement international;;Action et Comptes publics
3324;1463;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3325;1463;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
3326;1463;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3327;1463;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Economie et finances;;
3328;1465;Membre du Gouvernement ou membre de cabinet ministériel;Affaires étrangères et développement international;
3329;1465;Membre du Gouvernement ou membre de cabinet ministériel - Affaires étrangères et développement international;;
3330;1467;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;Haut commissariat aux retraites 
3331;1467;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Haut commissariat aux retraites 
3332;1467;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé, Autres : à préciser;;Haut commissariat aux retraites 
3333;1468;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;Ministère chargé des Transports
3334;1468;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Ministère chargé des Transports
3335;1468;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Autres : à préciser;;Ministère chargé des Transports
3336;1469;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3337;1469;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3338;1469;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3339;1469;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3340;1469;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Commission de régulation de l'énergie;
3341;1469;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Commission de régulation de l'énergie;;
3342;1470;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3343;1470;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3344;1470;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3345;1470;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3346;1470;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
3347;1471;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3348;1471;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3349;1472;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;Ministère de l'Action et des Comptes publics
3350;1472;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;Ministère de l'Action et des Comptes publics
3351;1472;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Ministère de l'Action et des Comptes publics
3352;1472;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Autres : à préciser;;Ministère de l'Action et des Comptes publics
3353;1477;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3354;1477;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
3355;1477;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3356;1477;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt;;
3357;1479;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Ministère des Transports
3358;1479;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Ministère des Transports
3359;1480;Membre du Gouvernement ou membre de cabinet ministériel;Logement;Action et Comptes publics
3360;1480;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;Action et Comptes publics
3361;1480;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Action et Comptes publics
3362;1480;Membre du Gouvernement ou membre de cabinet ministériel - Logement, Economie et finances, Autres : à préciser;;Action et Comptes publics
3363;1481;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3364;1481;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3365;1481;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3366;1481;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Affaires sociales et santé;;
3367;1483;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3368;1483;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3369;1483;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3370;1483;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3371;1483;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Commission de régulation de l'énergie;
3372;1483;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Commission de régulation de l'énergie;;
3373;1484;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3374;1484;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3375;1484;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
3376;1487;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
3377;1487;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
3378;1487;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
3379;1487;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3380;1487;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3381;1487;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social, Affaires sociales et santé, Economie et finances;;
3382;1488;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3383;1488;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3384;1488;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3385;1488;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3386;1488;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
3387;1489;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3388;1489;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3389;1489;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3390;1489;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3391;1489;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
3392;1490;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3393;1490;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
3394;1491;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3395;1491;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
3396;1491;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
3397;1491;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Education nationale, enseignement supérieur et recherche;;
3398;1493;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3399;1493;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3400;1493;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
3401;1493;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
3402;1493;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Education nationale, enseignement supérieur et recherche;;
3403;1494;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3404;1494;Membre du Gouvernement ou membre de cabinet ministériel; Logement;
3405;1494;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3406;1494;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Logement, Economie et finances;;
3407;1495;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3408;1495;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3409;1495;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
3410;1496;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3411;1496;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3412;1496;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
3413;1497;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3414;1497;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3415;1498;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;Affaires européennes
3416;1498;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;Affaires européennes
3417;1498;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Affaires européennes
3418;1498;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer, Autres : à préciser;;Affaires européennes
3419;1500;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3420;1500;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3421;1500;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3422;1500;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3423;1500;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
3424;1501;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3425;1501;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
3426;1502;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
3427;1502;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
3428;1503;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3429;1503;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3430;1503;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3431;1503;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3432;1504;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3433;1504;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3434;1506;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3435;1506;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3436;1507;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
3437;1507;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
3438;1507;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
3439;1507;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3440;1507;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social, Affaires sociales et santé;;
3441;1509;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3442;1509;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
3443;1509;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3444;1509;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt;;
3445;1512;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3446;1512;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
3447;1512;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3448;1512;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Economie et finances;;
3449;1513;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3450;1513;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3451;1514;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3452;1514;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
3453;1514;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3454;1514;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Economie et finances;;
3455;1515;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3456;1515;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
3457;1515;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3458;1515;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Economie et finances;;
3459;1516;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3460;1516;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
3461;1516;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3462;1516;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Economie et finances;;
3463;1517;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3464;1517;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
3465;1517;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3466;1517;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Economie et finances;;
3467;1518;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3468;1518;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3469;1518;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
3470;1519;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3471;1519;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3472;1519;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3473;1519;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3474;1520;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3475;1520;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3476;1520;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3477;1520;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3478;1522;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3479;1522;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
3480;1522;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
3481;1522;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3482;1522;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Aménagement du territoire, ruralité et collectivités territoriales, Economie et finances;;
3483;1523;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3484;1523;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
3485;1524;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3486;1524;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
3487;1524;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication;;
3488;1526;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3489;1526;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3490;1526;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
